"expr" "time"
<<<<<<< HEAD
"cmcp3" "fit.cmcp3 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"cMCP\", family = \"binomial\", alpha = 0.95)" 8428018141
"gel1" "fit.gel1 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.05)" 4141740406
"gel2" "fit.gel2 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.5)" 5180097971
"gel3" "fit.gel3 <- cv.grpreg(xtrain, ytrain, as.numeric(as.factor(paste(corpart0,      pvpart0))), penalty = \"gel\", family = \"binomial\", alpha = 0.95)" 6517717688
"ocmcp1" "fit.ocmcp1 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.05)" 10072639339
"ocmcp2" "fit.ocmcp2 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.5)" 8992285623
"ocmcp3" "fit.ocmcp3 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"cMCP\",      family = \"binomial\", alpha = 0.95)" 15509586815
"ogel1" "fit.ogel1 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",      family = \"binomial\", alpha = 0.05)" 8823202620
"ogel2" "fit.ogel2 <- cv.grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",      family = \"binomial\", alpha = 0.5)" 12198004517
"ogel3" "{     fit.ogel3 <- grpregOverlap(xtrain, ytrain, part.ogl, penalty = \"gel\",          family = \"binomial\", alpha = 0.95)     fit.ogel3 <- list(cve = NA, cvse = NA, lambda = fit.ogel3$lambda,          fit = fit.ogel3, min = 1, lambda.min = fit.ogel3$lambda,          null.dev = NA, pe = NA)     class(fit.ogel3) <- c(\"cv.grpregOverlap\", \"cv.grpreg\") }" 159789647
"rf" "fit.rf <- rfsrc(y ~ ., data = data.frame(y = ytrain, x = xtrain),      var.used = \"all.trees\", ntree = 5000, importance = \"none\")" 49452676684
>>>>>>> 31db1da7fc892df40e05ce4287d82f38e942befc
